Sequence,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1084,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella 7  ,Massiliprevotella massiliensis
ASV_1085,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Subdoligranulum   ,metagenome 
ASV_1086,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-001  ,metagenome 
ASV_1087,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Oxalobacteraceae  ,Oxalobacter   ,Oxalobacter formigenes
ASV_1088,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides plebeius
ASV_1089,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales  ,Anaerovoracaceae  ,Family XIII AD3011 group,uncultured organism
ASV_1090,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Coprococcus   ,metagenome 
ASV_1091,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,uncultured Blautia
ASV_1092,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,NA,NA,NA
ASV_1093,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_1094,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides massiliensis
ASV_1095,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_1096,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,uncultured   ,Clostridium sp.
ASV_1097,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes sp.
ASV_1098,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospira   ,gut metagenome
ASV_1099,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides coprocola
ASV_1100,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_1101,Bacteria,Firmicutes,Bacilli,Erysipelotrichales  ,Erysipelotrichaceae  ,Faecalitalea   ,uncultured organism
ASV_1102,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Hungatella   ,uncultured bacterium
ASV_1103,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Angelakisella   ,uncultured bacterium
ASV_1104,Bacteria,Firmicutes,Clostridia,Peptococcales  ,Peptococcaceae  ,Peptococcus   ,uncultured organism
ASV_1105,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Paraprevotella   ,uncultured bacterium
ASV_1106,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospira   ,uncultured organism
ASV_1107,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_1108,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-004  ,uncultured organism
ASV_1109,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Paraprevotella   ,NA
ASV_1110,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Hungatella   ,uncultured bacterium
ASV_1111,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_1112,Bacteria,Firmicutes,Clostridia,Christensenellales  ,Christensenellaceae  ,Christensenellaceae R-7 group ,Clostridiales bacterium
ASV_1113,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,NA
ASV_1114,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides massiliensis
ASV_1115,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes obesi
ASV_1116,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella 9  ,metagenome 
ASV_1117,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,Burkholderia sp.
ASV_1118,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales  ,Desulfovibrionaceae  ,Bilophila   ,Bilophila wadsworthia
ASV_1119,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_1120,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,uncultured bacterium
ASV_1121,Bacteria,Firmicutes,Clostridia,Christensenellales  ,Christensenellaceae  ,Christensenellaceae R-7 group ,Clostridiales bacterium
ASV_1122,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales  ,Methanobacteriaceae  ,Methanobrevibacter   ,Methanobrevibacter smithii
ASV_1123,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,gut metagenome
ASV_1124,Bacteria,Firmicutes,Clostridia,Christensenellales  ,Christensenellaceae  ,Christensenellaceae R-7 group ,human gut
ASV_1125,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium xylanophilum group ,uncultured organism
ASV_1126,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,gut metagenome
ASV_1127,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,unidentified 
ASV_1128,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,Clostridium asparagiforme
ASV_1129,Bacteria,Firmicutes,Bacilli,Izemoplasmatales  ,Izemoplasmatales  ,Izemoplasmatales   ,gut metagenome
ASV_1130,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_1131,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales  ,Victivallaceae  ,Victivallis   ,uncultured bacterium
ASV_1132,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,gut metagenome
ASV_1133,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,uncultured   ,NA
ASV_1134,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,uncultured   ,gut metagenome
ASV_1135,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,UCG-010  ,UCG-010   ,gut metagenome
ASV_1136,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Agathobacter   ,uncultured bacterium
ASV_1137,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Phascolarctobacterium   ,uncultured Veillonellaceae
ASV_1138,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium ruminantium group ,gut metagenome
ASV_1139,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Butyricimonas   ,NA
ASV_1140,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Streptococcaceae  ,Streptococcus   ,Streptococcus salivarius
ASV_1141,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-003   ,uncultured bacterium
ASV_1142,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-005   ,uncultured organism
ASV_1143,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_1144,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella   ,Prevotella stercorea
ASV_1145,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Odoribacter   ,Odoribacter splanchnicus
ASV_1146,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,NA,NA,NA
ASV_1147,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Phascolarctobacterium   ,uncultured Firmicutes
ASV_1148,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides merdae
ASV_1149,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Streptococcaceae  ,Streptococcus   ,Streptococcus australis
ASV_1150,Bacteria,Firmicutes,Clostridia,NA,NA,NA,NA
ASV_1151,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,gut metagenome
ASV_1152,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,NA
ASV_1153,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Parasutterella   ,uncultured organism
ASV_1154,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Parasutterella   ,uncultured organism
ASV_1155,Bacteria,Firmicutes,Clostridia,NA,NA,NA,NA
ASV_1156,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Colidextribacter   ,Anaerostipes hadrus
ASV_1157,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-004  ,uncultured organism
ASV_1158,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,NA,NA,NA
ASV_1159,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-005   ,gut metagenome
ASV_1160,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_1161,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_1162,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Flavonifractor   ,uncultured bacterium
ASV_1163,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides johnsonii
ASV_1164,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_1165,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Butyricimonas   ,uncultured organism
ASV_1166,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales  ,Desulfovibrionaceae  ,Bilophila   ,Bilophila wadsworthia
ASV_1167,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,human gut
ASV_1168,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Eubacterium siraeum group ,Eubacterium siraeum
ASV_1169,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium eligens group ,uncultured organism
ASV_1170,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_1171,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes indistinctus
ASV_1172,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales  ,Gastranaerophilales  ,Gastranaerophilales   ,uncultured bacterium
ASV_1173,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV_1174,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,uncultured Eubacterium
ASV_1175,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_1176,Bacteria,Firmicutes,Clostridia,Christensenellales  ,Christensenellaceae  ,Christensenellaceae R-7 group ,Clostridiales bacterium
ASV_1177,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospira   ,uncultured organism
ASV_1178,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Roseburia   ,gut metagenome
ASV_1179,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides merdae
ASV_1180,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Dorea   ,uncultured Dorea
ASV_1181,Bacteria,Firmicutes,Bacilli,Erysipelotrichales  ,Erysipelotrichaceae  ,Holdemania   ,uncultured bacterium
ASV_1182,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,Ruminococcus faecis
ASV_1183,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Butyricicoccaceae  ,Butyricicoccus   ,uncultured organism
ASV_1184,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Colidextribacter   ,gut metagenome
ASV_1185,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Bacteroides sp.
ASV_1186,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Flavonifractor   ,uncultured bacterium
ASV_1187,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Pseudoflavonifractor   ,uncultured bacterium
ASV_1188,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Ruminococcus   ,metagenome 
ASV_1189,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Negativibacillus   ,NA
ASV_1190,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Agathobacter   ,uncultured bacterium
ASV_1191,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium hallii group ,uncultured organism
ASV_1192,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_1193,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Muribaculaceae  ,Muribaculaceae   ,uncultured bacterium
ASV_1194,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides johnsonii
ASV_1195,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,human gut
ASV_1196,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Butyricimonas   ,uncultured organism
ASV_1197,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Eubacterium siraeum group ,Eubacterium siraeum
ASV_1198,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,gut metagenome
ASV_1199,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales  ,Desulfovibrionaceae  ,Bilophila   ,Bilophila wadsworthia
ASV_1200,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides eggerthii
ASV_1201,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides fragilis
ASV_1202,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Butyricimonas   ,uncultured bacterium
ASV_1203,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Lactobacillaceae  ,Limosilactobacillus   ,Lactobacillus fermentum
ASV_1204,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae NK4A136 group ,gut metagenome
ASV_1205,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales  ,Veillonellaceae  ,Dialister   ,Dialister sp.
ASV_1206,Bacteria,Firmicutes,Clostridia,Clostridiales  ,Clostridiaceae  ,Clostridium sensu stricto 1,metagenome 
ASV_1207,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,uncultured organism
ASV_1208,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Butyricimonas   ,uncultured organism
ASV_1209,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,Clostridia vadinBB60 group,Clostridia vadinBB60 group ,gut metagenome
ASV_1210,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae NK4A136 group ,gut metagenome
ASV_1211,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides uniformis
ASV_1212,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014 ,Clostridia UCG-014 ,Clostridia UCG-014  ,gut metagenome
ASV_1213,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Roseburia   ,uncultured organism
ASV_1214,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,uncultured   ,uncultured organism
ASV_1215,Bacteria,Firmicutes,Bacilli,Erysipelotrichales  ,Erysipelatoclostridiaceae  ,Erysipelotrichaceae UCG-003  ,uncultured bacterium
ASV_1216,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,CAG-352   ,uncultured bacterium
ASV_1217,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Dorea   ,NA
ASV_1218,Bacteria,Firmicutes,Bacilli,Erysipelotrichales  ,Erysipelotrichaceae  ,Faecalitalea   ,uncultured organism
ASV_1219,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Anaerostipes   ,metagenome 
ASV_1220,Bacteria,Firmicutes,Clostridia,NA,NA,NA,NA
ASV_1221,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales  ,Anaerovoracaceae  ,Family XIII AD3011 group,uncultured bacterium
ASV_1222,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,NA
ASV_1223,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales  ,Peptostreptococcaceae  ,Romboutsia   ,uncultured bacterium
ASV_1224,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Phocea   ,uncultured bacterium
ASV_1225,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_1226,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,NA
ASV_1227,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Rikenellaceae RC9 gut group,uncultured bacterium
ASV_1228,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,NA,NA
ASV_1229,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,NA
ASV_1230,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides plebeius
ASV_1231,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Subdoligranulum   ,metagenome 
ASV_1232,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,uncultured organism
ASV_1233,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Eubacterium siraeum group ,uncultured bacterium
ASV_1234,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Roseburia   ,uncultured Roseburia
ASV_1235,Bacteria,Firmicutes,Clostridia,Christensenellales  ,Christensenellaceae  ,Christensenellaceae R-7 group ,Clostridiales bacterium
ASV_1236,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides plebeius
ASV_1237,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Roseburia   ,Roseburia hominis
ASV_1238,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospira   ,uncultured organism
ASV_1239,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,human gut
ASV_1240,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Coprococcus   ,NA
ASV_1241,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales  ,Victivallaceae  ,Victivallis   ,uncultured bacterium
ASV_1242,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-005   ,uncultured organism
ASV_1243,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-003   ,metagenome 
ASV_1244,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,Trichuris trichiura
ASV_1245,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,uncultured   ,human gut
ASV_1246,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides fragilis
ASV_1247,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales  ,Bifidobacteriaceae  ,Bifidobacterium   ,NA
ASV_1248,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium ventriosum group ,uncultured bacterium
ASV_1249,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_1250,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,human gut
ASV_1251,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,CAG-56   ,uncultured bacterium
ASV_1252,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-010  ,uncultured organism
ASV_1253,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae NK4A136 group ,gut metagenome
ASV_1254,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales  ,Desulfovibrionaceae  ,Bilophila   ,Bilophila wadsworthia
ASV_1255,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,NA
ASV_1256,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium ruminantium group ,gut metagenome
ASV_1257,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides uniformis
ASV_1258,Bacteria,Firmicutes,Bacilli,Erysipelotrichales  ,Erysipelatoclostridiaceae  ,Erysipelotrichaceae UCG-003  ,uncultured bacterium
ASV_1259,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium eligens group ,uncultured organism
ASV_1260,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides intestinalis
ASV_1261,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales  ,Gastranaerophilales  ,Gastranaerophilales   ,Acinetobacter sp.
ASV_1262,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,NA
ASV_1263,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,human gut
ASV_1264,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,uncultured   ,NA
ASV_1265,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,unidentified 
ASV_1266,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella   ,Prevotella stercorea
ASV_1267,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_1268,Bacteria,Firmicutes,Bacilli,Bacillales  ,Bacillaceae  ,Bacillus   ,NA
ASV_1269,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,NA
ASV_1270,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales  ,Enterobacteriaceae  ,Escherichia-Shigella   ,Shigella flexneri
ASV_1271,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Anaerostipes   ,NA
ASV_1272,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Coprococcus   ,NA
ASV_1273,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Incertae Sedis  ,uncultured organism
ASV_1274,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Lactobacillaceae  ,Weissella   ,Weissella cibaria
ASV_1275,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales  ,Desulfovibrionaceae  ,Desulfovibrio   ,gut metagenome
ASV_1276,Bacteria,Firmicutes,Clostridia,Monoglobales  ,Monoglobaceae  ,Monoglobus   ,uncultured organism
ASV_1277,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,uncultured   ,Clostridium sp.
ASV_1278,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_1279,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides uniformis
ASV_1280,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,unidentified 
ASV_1281,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium hallii group ,uncultured bacterium
ASV_1282,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_1283,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Paraprevotella   ,NA
ASV_1284,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Intestinimonas   ,Intestinimonas butyriciproducens
ASV_1285,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_1286,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,human gut
ASV_1287,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides johnsonii
ASV_1288,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Pseudoflavonifractor   ,uncultured bacterium
ASV_1289,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Negativibacillus   ,NA
ASV_1290,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,uncultured   ,uncultured organism
ASV_1291,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,NA,NA
